Turn| Alive |infected|  Dead |Survivors| Cured |Vaccines|        City        |Event
   1| 439444|    5093|     75|     1425|      0|       0|      Canberra      |The city has its first infected case
   1| 154466|    5080|     75|     1425|      0|       0|       Cairns       |The city has its first infected case
   2|5029880|     129|      1|       36|      0|    1000|       Sydney       |The city has its first infected case
   2|5029880|     129|      1|       36|      0|    1000|       Sydney       |This city still has vaccines remaining
   2|4725316|       0|      0|        0|      0|    1000|     Melbourne      |This city still has vaccines remaining
   2|2022044|       0|      0|        0|      0|    1000|       Perth        |This city still has vaccines remaining
   2| 295781|     129|      1|       36|      0|       0|     Wollongong     |The city has its first infected case
   2| 179087|     256|      3|       72|      0|       0|     Townsville     |The city has its first infected case
   2|  90690|     130|      1|       37|      0|       0|   Albury Wodonga   |The city has its first infected case
   2| 146139|     256|      3|       72|      0|       0|       Darwin       |The city has its first infected case
   2|  56072|     129|      1|       36|      0|       0|    Wagga Wagga     |The city has its first infected case
   3|5029979|     113|      2|       68|    129|     871|       Sydney       |This city still has vaccines remaining
   3|4725318|       0|      0|        2|      0|    1000|     Melbourne      |The city has its first infected case
   3|4725318|       0|      0|        2|      0|    1000|     Melbourne      |The city has become infection free
   3|4725318|       0|      0|        2|      0|    1000|     Melbourne      |This city still has vaccines remaining
   3|2022044|       0|      0|        0|      0|    1000|       Perth        |This city still has vaccines remaining
   3| 436174|       0|      0|        3|      0|       0|     Newcastle      |The city has its first infected case
   3| 436174|       0|      0|        3|      0|       0|     Newcastle      |The city has become infection free
   3|  39758|       0|      0|        3|      0|       0|  Bathurst Orange   |The city has its first infected case
   3|  39758|       0|      0|        3|      0|       0|  Bathurst Orange   |The city has become infection free
   3|  80763|       5|      0|        5|      0|       0|       Mackay       |The city has its first infected case
   3|  51003|       0|      0|        5|      0|       0|      Mildura       |The city has its first infected case
   3|  51003|       0|      0|        5|      0|       0|      Mildura       |The city has become infection free
   3|  50695|       0|      0|        2|      0|       0|Shepparton Mooroopna|The city has its first infected case
   3|  50695|       0|      0|        2|      0|       0|Shepparton Mooroopna|The city has become infection free
   3|  37128|       0|      0|        3|      0|       0|       Dubbo        |The city has its first infected case
   3|  37128|       0|      0|        3|      0|       0|       Dubbo        |The city has become infection free
   3|  27988|      18|      0|        5|      0|       0|   Alice Springs    |The city has its first infected case
   3|  14784|       5|      0|        5|      0|       0|       Broome       |The city has its first infected case
   4|5030060|      93|      3|       94|    242|     758|       Sydney       |This city still has vaccines remaining
   4|4725322|       0|      0|        6|      0|    1000|     Melbourne      |The city has become infection free
   4|4725322|       0|      0|        6|      0|    1000|     Melbourne      |This city still has vaccines remaining
   4|2022044|       0|      0|        0|      0|    1000|       Perth        |This city still has vaccines remaining
   4| 436176|       0|      0|        5|      0|       0|     Newcastle      |The city has become infection free
   4|  39760|       0|      0|        5|      0|       0|  Bathurst Orange   |The city has become infection free
   4|  50699|       0|      0|        6|      0|       0|Shepparton Mooroopna|The city has become infection free
   4|  37133|       0|      0|        8|      0|       0|       Dubbo        |The city has become infection free
   5|5030127|      78|      4|      115|    335|     665|       Sydney       |This city still has vaccines remaining
   5|4725328|       1|      0|       11|      0|    1000|     Melbourne      |This city still has vaccines remaining
   5|2022044|       0|      0|        0|      0|    1000|       Perth        |This city still has vaccines remaining
   5| 436178|       0|      0|        7|      0|       0|     Newcastle      |The city has become infection free
   5|  39762|       0|      0|        7|      0|       0|  Bathurst Orange   |The city has become infection free
   5|  78796|       0|      0|        1|      0|       0|    Rockhampton     |The city has its first infected case
   5|  78796|       0|      0|        1|      0|       0|    Rockhampton     |The city has become infection free
   5|  38290|       0|      0|        1|      0|       0|     Geraldton      |The city has its first infected case
   5|  38290|       0|      0|        1|      0|       0|     Geraldton      |The city has become infection free
   6|5030174|      54|      4|      130|    413|     587|       Sydney       |This city still has vaccines remaining
   6|4725336|       5|      0|       16|      1|     999|     Melbourne      |This city still has vaccines remaining
   6|2022044|       0|      0|        0|      0|    1000|       Perth        |This city still has vaccines remaining
   6| 436179|       0|      0|        8|      0|       0|     Newcastle      |The city has become infection free
   6| 114025|       0|      0|        1|      0|       0|     Toowoomba      |The city has its first infected case
   6| 114025|       0|      0|        1|      0|       0|     Toowoomba      |The city has become infection free
   6|  39763|       0|      0|        8|      0|       0|  Bathurst Orange   |The city has become infection free
   6|  78798|       0|      0|        3|      0|       0|    Rockhampton     |The city has become infection free
